------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
InversionCount/139            7777 ns         7777 ns       114780
InversionCount/140            7906 ns         7906 ns        84744
InversionCount/141            7801 ns         7801 ns        89937
InversionCount/142            7927 ns         7927 ns       100976
InversionCount/143            7931 ns         7931 ns        94935
InversionCount/144            8314 ns         8314 ns        95605
InversionCount/145            8101 ns         8101 ns        87633
InversionCount/146            8517 ns         8517 ns        78503
InversionCount/147            7968 ns         7968 ns        83215
InversionCount/148            8566 ns         8567 ns        90166
InversionCount/149            7704 ns         7704 ns        89471
InversionCount/150            8466 ns         8466 ns        80488
InversionCount/151            8751 ns         8751 ns        88538
InversionCount/152            8741 ns         8741 ns        83173
InversionCount/153            8325 ns         8325 ns        83418
InversionCount/154            8681 ns         8681 ns        81036
InversionCount/155            9251 ns         9251 ns        89748
InversionCount/156            9134 ns         9134 ns        81024
InversionCount/157            8220 ns         8220 ns        80868
InversionCount/158            6133 ns         6133 ns        83436
InversionCount/159            8315 ns         8315 ns        74123
InversionCount/160            6547 ns         6547 ns        81443
InversionCount/161            8801 ns         8801 ns        78006
InversionCount/162            9292 ns         9292 ns        75866
InversionCount/163            9463 ns         9463 ns        82780
InversionCount/164            9475 ns         9475 ns        73302
InversionCount/165            6768 ns         6768 ns       108762
InversionCount/166            9727 ns         9727 ns        82075
InversionCount/167            9339 ns         9339 ns        74054
InversionCount/168            9573 ns         9573 ns        78371
InversionCount/169            9576 ns         9576 ns        74187
InversionCount/170            9506 ns         9506 ns        70504
InversionCount/171            9751 ns         9751 ns        70685
InversionCount/172           10563 ns        10563 ns        78092
InversionCount/173           10547 ns        10547 ns        79628
InversionCount/174           10248 ns        10248 ns        69139
InversionCount/175           10344 ns        10344 ns        65349
InversionCount/176            9950 ns         9950 ns        67492
InversionCount/177           10161 ns        10161 ns        63397
InversionCount/178           10663 ns        10663 ns        65202
InversionCount/179           10561 ns        10561 ns        65511
InversionCount/180            9380 ns         9380 ns        70720
InversionCount/181           10171 ns        10171 ns        65918
InversionCount/182           10287 ns        10287 ns        63984
InversionCount/183           11416 ns        11416 ns        65460
InversionCount/184           10954 ns        10954 ns        70585
InversionCount/185           11133 ns        11133 ns        59470
InversionCount/186           11526 ns        11526 ns        92191
InversionCount/187           11462 ns        11462 ns        63646
InversionCount/188           11698 ns        11699 ns        60816
InversionCount/189           11438 ns        11438 ns        57494
InversionCount/190           11251 ns        11251 ns        58172
InversionCount/191           11133 ns        11133 ns        63244
InversionCount/192            8069 ns         8069 ns        65317
InversionCount/193           10174 ns        10174 ns        62434
InversionCount/194           12101 ns        12102 ns        58551
InversionCount/195           12080 ns        12080 ns        59276
InversionCount/196           12156 ns        12156 ns        57680
InversionCount/197           12723 ns        12723 ns        69345
InversionCount/198           12397 ns        12397 ns        82352
InversionCount/199           12538 ns        12538 ns        59719
InversionCount/200           12318 ns        12318 ns        56967
InversionCount/201           12362 ns        12362 ns        60499
InversionCount/202           10927 ns        10927 ns        55737
InversionCount/203           12341 ns        12341 ns        59112
InversionCount/204           12262 ns        12262 ns        57118
InversionCount/205           12886 ns        12886 ns        56708
InversionCount/206           12397 ns        12397 ns        54079
InversionCount/207           12759 ns        12759 ns        53873
InversionCount/208           12208 ns        12209 ns        53468
InversionCount/209           12622 ns        12622 ns        57286
InversionCount/210           12898 ns        12898 ns        56244
InversionCount/211           12972 ns        12972 ns        55020
InversionCount/212           12933 ns        12933 ns        53973
InversionCount/213           13333 ns        13333 ns        53304
InversionCount/214           12953 ns        12953 ns        54024
InversionCount/215           13385 ns        13385 ns        52184
InversionCount/216           13535 ns        13535 ns        51070
InversionCount/217           13263 ns        13263 ns        53439
InversionCount/218           13876 ns        13876 ns        51979
InversionCount/219           13797 ns        13797 ns        54199
InversionCount/220           13996 ns        13996 ns        51277
InversionCount/221           14079 ns        14079 ns        50126
InversionCount/222           14304 ns        14304 ns        49936
InversionCount/223           13990 ns        13990 ns        54977
InversionCount/224           14343 ns        14343 ns        48078
InversionCount/225           14141 ns        14141 ns        49976
InversionCount/226           14450 ns        14450 ns        50439
InversionCount/227           14792 ns        14792 ns        52318
InversionCount/228           14268 ns        14268 ns        70331
InversionCount/229           14308 ns        14308 ns        50987
InversionCount/230           14846 ns        14846 ns        49350
InversionCount/231           14690 ns        14690 ns        51725
InversionCount/232           14891 ns        14891 ns        48688
InversionCount/233           15248 ns        15248 ns        46291
InversionCount/234           15115 ns        15115 ns        52350
InversionCount/235           14536 ns        14536 ns        45628
InversionCount/236           15145 ns        15145 ns        47248
InversionCount/237           14726 ns        14726 ns        46212
InversionCount/238           15057 ns        15057 ns        44969
InversionCount/239           14578 ns        14578 ns        51841
InversionCount/240           15582 ns        15582 ns        45385
InversionCount/241           15452 ns        15452 ns        51318
InversionCount/242           14792 ns        14792 ns        45779
InversionCount/243           15895 ns        15895 ns        46841
InversionCount/244           15947 ns        15947 ns        44602
InversionCount/245           15386 ns        15385 ns        48847
InversionCount/246           15835 ns        15835 ns        41917
InversionCount/247           15196 ns        15196 ns        43650
InversionCount/248           16134 ns        16134 ns        42590
InversionCount/249           16489 ns        16489 ns        43941
InversionCount/250           16904 ns        16904 ns        41982
InversionCount/251           17304 ns        17304 ns        40724
InversionCount/252           16384 ns        16384 ns        43770
InversionCount/253           16205 ns        16205 ns        41560
InversionCount/254           16264 ns        16264 ns        41089
InversionCount/255           17005 ns        17005 ns        42185
InversionCount/256           16984 ns        16984 ns        41542
InversionCount/257           16901 ns        16901 ns        40035
InversionCount/258           16938 ns        16938 ns        44597
InversionCount/259           17326 ns        17326 ns        42775
InversionCount/260           16584 ns        16584 ns        44619
InversionCount/261           17532 ns        17532 ns        40863
InversionCount/262           17627 ns        17627 ns        38468
InversionCount/263           17004 ns        17004 ns        38069
InversionCount/264           17619 ns        17619 ns        38624
InversionCount/265           16985 ns        16985 ns        39483
InversionCount/266           17811 ns        17812 ns        38221
InversionCount/267           17623 ns        17623 ns        38468
InversionCount/268           16719 ns        16719 ns        39470
InversionCount/269           17583 ns        17583 ns        37868
InversionCount/270           17624 ns        17624 ns        37403
InversionCount/271           15388 ns        15388 ns        38861
InversionCount/272           18600 ns        18600 ns        38591
InversionCount/273           17596 ns        17596 ns        37766
InversionCount/274           18599 ns        18599 ns        40098
InversionCount/275           18734 ns        18734 ns        36785
InversionCount/276           19325 ns        19325 ns        36575
InversionCount/277           18949 ns        18949 ns        36887
InversionCount/278           18452 ns        18452 ns        39770
InversionCount/279           18944 ns        18945 ns        37066
InversionCount/280           19200 ns        19200 ns        35264
InversionCount/281           19531 ns        19531 ns        36897
InversionCount/282           19189 ns        19189 ns        36932
InversionCount/283           19145 ns        19145 ns        36421
InversionCount/284           18998 ns        18998 ns        44982
InversionCount/285           19749 ns        19749 ns        36770
InversionCount/286           19320 ns        19320 ns        35620
InversionCount/287           19942 ns        19942 ns        33998
InversionCount/288           19442 ns        19442 ns        36086
InversionCount/289           20050 ns        20050 ns        36640
InversionCount/290           20119 ns        20119 ns        41711
InversionCount/291           19381 ns        19381 ns        33587
InversionCount/292           20417 ns        20417 ns        35730
InversionCount/293           18968 ns        18968 ns        33511
InversionCount/294           20359 ns        20359 ns        34764
InversionCount/295           20658 ns        20658 ns        32990
InversionCount/296           21003 ns        21003 ns        34538
InversionCount/297           20413 ns        20413 ns        32357
InversionCount/298           20052 ns        20052 ns        33319
InversionCount/299           21330 ns        21330 ns        32890
InversionCount/300           20293 ns        20293 ns        33532
InversionCount/301           21354 ns        21354 ns        33837
InversionCount/302           21063 ns        21063 ns        34559
InversionCount/303           20685 ns        20685 ns        34441
InversionCount/304           21324 ns        21325 ns        32668
InversionCount/305           21252 ns        21252 ns        32448
InversionCount/306           21663 ns        21663 ns        32278
InversionCount/307           21380 ns        21380 ns        31772
InversionCount/308           21049 ns        21049 ns        32106
InversionCount/309           22274 ns        22274 ns        34933
InversionCount/310           21877 ns        21878 ns        31903
InversionCount/311           22145 ns        22145 ns        31619
InversionCount/312           22022 ns        22022 ns        33667
InversionCount/313           21789 ns        21789 ns        31332
InversionCount/314           22061 ns        22061 ns        31513
InversionCount/315           21211 ns        21211 ns        32915
InversionCount/316           22446 ns        22446 ns        29939
InversionCount/317           23277 ns        23277 ns        31602
InversionCount/318           22405 ns        22405 ns        32287
InversionCount/319           23007 ns        23007 ns        31278
InversionCount/320           23407 ns        23407 ns        30692
InversionCount/321           23042 ns        23042 ns        31420
InversionCount/322           22402 ns        22402 ns        29965
InversionCount/323           22914 ns        22914 ns        36754
