------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
InversionCount/140            3390 ns         3390 ns       205719
InversionCount/141            2632 ns         2632 ns       199735
InversionCount/142            3234 ns         3234 ns       353892
InversionCount/143            3455 ns         3455 ns       190984
InversionCount/144            3403 ns         3403 ns       346329
InversionCount/145            3458 ns         3458 ns       199416
InversionCount/146            2093 ns         2093 ns       332246
InversionCount/147            3545 ns         3545 ns       199194
InversionCount/148            3733 ns         3733 ns       181181
InversionCount/149            3451 ns         3451 ns       181745
InversionCount/150            3742 ns         3742 ns       193749
InversionCount/151            3840 ns         3840 ns       202429
InversionCount/152            3778 ns         3778 ns       179986
InversionCount/153            3601 ns         3601 ns       173406
InversionCount/154            3498 ns         3498 ns       229003
InversionCount/155            3766 ns         3766 ns       218303
InversionCount/156            3923 ns         3923 ns       209475
InversionCount/157            3917 ns         3917 ns       177323
InversionCount/158            3909 ns         3909 ns       175327
InversionCount/159            3525 ns         3525 ns       319231
InversionCount/160            3716 ns         3716 ns       167549
InversionCount/161            4123 ns         4123 ns       177152
InversionCount/162            4145 ns         4145 ns       165029
InversionCount/163            3381 ns         3381 ns       176458
InversionCount/164            4044 ns         4044 ns       188641
InversionCount/165            4247 ns         4247 ns       171022
InversionCount/166            4199 ns         4199 ns       164679
InversionCount/167            4168 ns         4168 ns       172861
InversionCount/168            4252 ns         4252 ns       185101
InversionCount/169            4315 ns         4315 ns       299242
InversionCount/170            4331 ns         4331 ns       157589
InversionCount/171            2682 ns         2682 ns       188576
InversionCount/172            4395 ns         4395 ns       189214
InversionCount/173            4525 ns         4525 ns       151539
InversionCount/174            4375 ns         4375 ns       149131
InversionCount/175            4196 ns         4196 ns       145000
InversionCount/176            4179 ns         4179 ns       149824
InversionCount/177            4435 ns         4435 ns       152452
InversionCount/178            4254 ns         4254 ns       174583
InversionCount/179            3877 ns         3877 ns       144445
InversionCount/180            4845 ns         4845 ns       148129
InversionCount/181            4749 ns         4749 ns       265244
InversionCount/182            4957 ns         4957 ns       151371
InversionCount/183            4668 ns         4668 ns       270757
InversionCount/184            4825 ns         4825 ns       224974
InversionCount/185            4728 ns         4728 ns       146251
InversionCount/186            4940 ns         4940 ns       143969
InversionCount/187            4803 ns         4803 ns       142039
InversionCount/188            5088 ns         5088 ns       100000
InversionCount/189            5040 ns         5040 ns       144841
InversionCount/190            4286 ns         4286 ns       161082
InversionCount/191            4732 ns         4732 ns       143508
InversionCount/192            5075 ns         5075 ns       100000
InversionCount/193            4963 ns         4963 ns       141299
InversionCount/194            4967 ns         4967 ns       145326
InversionCount/195            5145 ns         5145 ns       222204
InversionCount/196            5282 ns         5282 ns       100000
InversionCount/197            4506 ns         4506 ns       132357
InversionCount/198            5166 ns         5166 ns       100000
InversionCount/199            5529 ns         5529 ns       132837
InversionCount/200            5065 ns         5065 ns       100000
InversionCount/201            5132 ns         5132 ns       100000
InversionCount/202            5351 ns         5351 ns       100000
InversionCount/203            5146 ns         5146 ns       100000
InversionCount/204            4840 ns         4840 ns       138946
InversionCount/205            5570 ns         5570 ns       122812
InversionCount/206            5168 ns         5168 ns       100000
InversionCount/207            5405 ns         5406 ns       120772
InversionCount/208            5237 ns         5238 ns       100000
InversionCount/209            5274 ns         5274 ns       138786
InversionCount/210            5376 ns         5376 ns       100000
InversionCount/211            5657 ns         5657 ns       100000
InversionCount/212            5622 ns         5622 ns       139058
InversionCount/213            5616 ns         5616 ns       139786
InversionCount/214            5823 ns         5823 ns       100000
InversionCount/215            5440 ns         5440 ns       100000
InversionCount/216            5818 ns         5818 ns       111976
InversionCount/217            5972 ns         5973 ns       115552
InversionCount/218            6070 ns         6070 ns       134037
InversionCount/219            5652 ns         5652 ns       121058
InversionCount/220            5419 ns         5419 ns       103997
InversionCount/221            6184 ns         6184 ns       214900
InversionCount/222            6000 ns         6000 ns       127941
InversionCount/223            5902 ns         5902 ns       124294
InversionCount/224            5776 ns         5776 ns       100000
InversionCount/225            6027 ns         6027 ns       100000
InversionCount/226            5912 ns         5912 ns       116328
InversionCount/227            5623 ns         5623 ns       131422
InversionCount/228            6227 ns         6227 ns       135807
InversionCount/229            6163 ns         6163 ns       109921
InversionCount/230            6032 ns         6032 ns       130470
InversionCount/231            6019 ns         6019 ns       134924
InversionCount/232            5342 ns         5342 ns       130185
InversionCount/233            6080 ns         6080 ns       133934
InversionCount/234            6367 ns         6367 ns       119393
InversionCount/235            5973 ns         5973 ns       126826
InversionCount/236            6444 ns         6444 ns       104145
InversionCount/237            5336 ns         5336 ns       119070
InversionCount/238            6237 ns         6237 ns       118062
InversionCount/239            6366 ns         6366 ns       129250
InversionCount/240            6482 ns         6482 ns       132572
InversionCount/241            5789 ns         5789 ns       100000
InversionCount/242            6676 ns         6676 ns       130929
InversionCount/243            6798 ns         6798 ns       118409
InversionCount/244            6369 ns         6369 ns       102546
InversionCount/245            6294 ns         6294 ns        98045
InversionCount/246            5987 ns         5987 ns       126956
InversionCount/247            6480 ns         6480 ns       105192
InversionCount/248            6891 ns         6891 ns       125706
InversionCount/249            6462 ns         6462 ns       106918
InversionCount/250            6744 ns         6744 ns       121817
InversionCount/251            6724 ns         6724 ns       100000
InversionCount/252            6674 ns         6674 ns       187229
InversionCount/253            6419 ns         6419 ns       123022
InversionCount/254            6972 ns         6972 ns       120916
InversionCount/255            6923 ns         6923 ns        88353
InversionCount/256            6721 ns         6721 ns       107293
InversionCount/257            6993 ns         6993 ns        95688
InversionCount/258            7253 ns         7253 ns        90484
InversionCount/259            6874 ns         6874 ns        97156
InversionCount/260            7137 ns         7137 ns        89830
InversionCount/261            7383 ns         7383 ns       119607
InversionCount/262            7444 ns         7444 ns        91247
InversionCount/263            7314 ns         7314 ns        99749
InversionCount/264            7501 ns         7501 ns        88615
InversionCount/265            7520 ns         7520 ns       162114
InversionCount/266            7682 ns         7682 ns       103793
InversionCount/267            7624 ns         7624 ns        98449
InversionCount/268            7893 ns         7893 ns        97521
InversionCount/269            7276 ns         7276 ns        85115
InversionCount/270            7981 ns         7981 ns       129752
InversionCount/271            7796 ns         7796 ns        96801
InversionCount/272            7354 ns         7354 ns        87828
InversionCount/273            7580 ns         7580 ns       105498
InversionCount/274            7624 ns         7624 ns        85695
InversionCount/275            7958 ns         7958 ns        87598
InversionCount/276            7261 ns         7261 ns        90743
InversionCount/277            6377 ns         6377 ns        90094
InversionCount/278            8033 ns         8033 ns       123679
InversionCount/279            7374 ns         7374 ns        94504
InversionCount/280            7942 ns         7942 ns        89003
InversionCount/281            8339 ns         8339 ns        93006
InversionCount/282            8142 ns         8142 ns        95559
InversionCount/283            7857 ns         7857 ns        92400
InversionCount/284            8135 ns         8135 ns        86138
InversionCount/285            8026 ns         8026 ns        88743
InversionCount/286            7884 ns         7884 ns       108331
InversionCount/287            8406 ns         8406 ns        87543
InversionCount/288            8550 ns         8550 ns        91856
InversionCount/289            8632 ns         8632 ns        83047
InversionCount/290            8196 ns         8196 ns        87785
InversionCount/291            8449 ns         8449 ns       115823
InversionCount/292            8641 ns         8641 ns        87522
InversionCount/293            8691 ns         8691 ns       156170
InversionCount/294            8240 ns         8240 ns        89912
InversionCount/295            8848 ns         8848 ns        82772
InversionCount/296            8236 ns         8236 ns        91001
InversionCount/297            8688 ns         8688 ns        72657
InversionCount/298            8329 ns         8329 ns        71733
InversionCount/299            8756 ns         8756 ns        98365
InversionCount/300            8687 ns         8687 ns        91113
InversionCount/301            8432 ns         8432 ns        83792
InversionCount/302            8846 ns         8846 ns        79843
InversionCount/303            9459 ns         9459 ns        82218
InversionCount/304            8558 ns         8558 ns       111823
InversionCount/305            8989 ns         8989 ns        76786
InversionCount/306            9010 ns         9010 ns        81101
InversionCount/307            8604 ns         8604 ns        86691
InversionCount/308            9475 ns         9475 ns        68035
InversionCount/309            9540 ns         9540 ns        70369
InversionCount/310            9365 ns         9365 ns        84168
InversionCount/311            9475 ns         9475 ns        81734
InversionCount/312            9214 ns         9214 ns        80457
InversionCount/313            9110 ns         9110 ns        73962
InversionCount/314            9100 ns         9100 ns        94015
InversionCount/315            9073 ns         9073 ns        80553
InversionCount/316            9331 ns         9331 ns       116428
InversionCount/317            8309 ns         8309 ns        88491
InversionCount/318            9390 ns         9390 ns        84399
InversionCount/319            9464 ns         9464 ns        73854
InversionCount/320            8911 ns         8911 ns        89142
InversionCount/321            9243 ns         9243 ns        81439
InversionCount/322            9432 ns         9432 ns        93930
InversionCount/323           10539 ns        10539 ns        71917
InversionCount/324            9591 ns         9591 ns        88779
InversionCount/325            9864 ns         9864 ns        87266
InversionCount/326            9318 ns         9318 ns        73629
InversionCount/327            9517 ns         9517 ns        80024
InversionCount/328            9227 ns         9227 ns        66436
InversionCount/329            9670 ns         9670 ns       136883
InversionCount/330           10376 ns        10376 ns        71612
InversionCount/331            9785 ns         9785 ns        80119
InversionCount/332           10065 ns        10065 ns        85560
InversionCount/333           10563 ns        10563 ns        75154
InversionCount/334            9838 ns         9838 ns        63107
InversionCount/335           10320 ns        10320 ns        78043
InversionCount/336           11070 ns        11070 ns        59409
InversionCount/337           10512 ns        10512 ns        72262
InversionCount/338           10218 ns        10218 ns        66567
InversionCount/339           10358 ns        10358 ns        78150
InversionCount/340           10212 ns        10212 ns        69791
InversionCount/341           10492 ns        10492 ns       129713
InversionCount/342            9622 ns         9622 ns        62682
InversionCount/343           10490 ns        10490 ns        75523
InversionCount/344           10371 ns        10371 ns        69184
InversionCount/345           10545 ns        10545 ns        73493
InversionCount/346           10060 ns        10060 ns        66741
InversionCount/347            9790 ns         9790 ns        70615
InversionCount/348           10222 ns        10222 ns        62905
InversionCount/349           10440 ns        10440 ns        74065
InversionCount/350           10794 ns        10794 ns        69284
InversionCount/351            9761 ns         9761 ns        66187
InversionCount/352           11061 ns        11061 ns        60791
InversionCount/353           10957 ns        10957 ns        68993
InversionCount/354           11456 ns        11456 ns        61995
InversionCount/355           10916 ns        10916 ns        75872
InversionCount/356           10691 ns        10691 ns        70709
InversionCount/357           10922 ns        10922 ns        67306
