------------------------------------------------------------------
Benchmark                        Time             CPU   Iterations
InversionCount/140            1046 ns         1046 ns       778145
InversionCount/141            1109 ns         1109 ns       699763
InversionCount/142            1022 ns         1022 ns       599566
InversionCount/143            1247 ns         1247 ns       653545
InversionCount/144            1260 ns         1260 ns       600555
InversionCount/145            1281 ns         1281 ns       698546
InversionCount/146            1289 ns         1289 ns       582429
InversionCount/147            1260 ns         1260 ns       566477
InversionCount/148            1085 ns         1085 ns       678415
InversionCount/149            1216 ns         1216 ns       601686
InversionCount/150            1361 ns         1361 ns       559101
InversionCount/151            1382 ns         1382 ns       557064
InversionCount/152            1346 ns         1346 ns       526258
InversionCount/153            1384 ns         1384 ns       539630
InversionCount/154            1296 ns         1296 ns       570024
InversionCount/155            1482 ns         1482 ns       544528
InversionCount/156            1342 ns         1342 ns       534045
InversionCount/157            1424 ns         1424 ns       476495
InversionCount/158            1254 ns         1254 ns       591039
InversionCount/159            1508 ns         1508 ns       497182
InversionCount/160            1298 ns         1298 ns       536511
InversionCount/161            1433 ns         1433 ns       500907
InversionCount/162            1516 ns         1516 ns       446693
InversionCount/163            1466 ns         1466 ns       486500
InversionCount/164            1556 ns         1556 ns       469874
InversionCount/165            1556 ns         1556 ns       562732
InversionCount/166             846 ns          846 ns       835457
InversionCount/167            1230 ns         1230 ns       544123
InversionCount/168            1474 ns         1474 ns       595083
InversionCount/169            1438 ns         1438 ns       436915
InversionCount/170            1551 ns         1551 ns       429722
InversionCount/171            1262 ns         1262 ns       496738
InversionCount/172            1557 ns         1557 ns       474876
InversionCount/173             849 ns          849 ns       834149
InversionCount/174            1648 ns         1648 ns       464743
InversionCount/175            1332 ns         1332 ns       514400
InversionCount/176            1521 ns         1521 ns       426570
InversionCount/177            1536 ns         1536 ns       473674
InversionCount/178            1735 ns         1735 ns       459484
InversionCount/179            1442 ns         1442 ns       509456
InversionCount/180            1639 ns         1639 ns       479737
InversionCount/181             887 ns          887 ns       795447
InversionCount/182            1703 ns         1703 ns       429726
InversionCount/183            1716 ns         1716 ns       389970
InversionCount/184            1538 ns         1538 ns       470654
InversionCount/185            1693 ns         1693 ns       410174
InversionCount/186            1129 ns         1129 ns       626563
InversionCount/187            1683 ns         1683 ns       391727
InversionCount/188            1168 ns         1168 ns       609316
InversionCount/189            1738 ns         1738 ns       402695
InversionCount/190            1761 ns         1761 ns       393792
InversionCount/191            1868 ns         1868 ns       424978
InversionCount/192            1766 ns         1766 ns       418954
InversionCount/193            1789 ns         1789 ns       377176
InversionCount/194            1718 ns         1718 ns       381545
InversionCount/195            1805 ns         1805 ns       383725
InversionCount/196            1644 ns         1644 ns       373982
InversionCount/197            1816 ns         1816 ns       398510
InversionCount/198            1607 ns         1607 ns       453030
